f1_macro,accuracy,auroc_macro,pr_auc_macro,fold_id,test_subject,model,stage,generalization_gap
1.0,1.0,1.0,1.0,4,15,ExtraTrees,train,0.017254901960784275
0.9827450980392157,0.9873417721518988,0.993006993006993,0.984863523573201,4,15,ExtraTrees,test,0.017254901960784275
1.0,1.0,1.0,1.0,4,15,LightGBM,train,0.02013605442176869
0.9798639455782313,0.9873417721518988,1.0,0.9999999999999999,4,15,LightGBM,test,0.02013605442176869
0.9980101329319266,0.9981801637852593,0.9999977823461448,0.9999980635621246,4,15,CatBoost,train,0.03912124404303785
0.9588888888888888,0.9746835443037974,0.9992229992229992,0.9964590964590964,4,15,CatBoost,test,0.03912124404303785
0.8387150527369983,0.8535031847133758,0.9574353085911644,0.8830645830230875,5,16,LogisticRegression,train,0.26801908204102753
0.5706959706959708,0.7341772151898734,0.9706050706050706,0.9401063120330543,5,16,LogisticRegression,test,0.26801908204102753
1.0,1.0,1.0,1.0,5,16,RandomForest,train,0.14932740960138224
0.8506725903986178,0.8607594936708861,0.9896357396357396,0.9701674282966635,5,16,RandomForest,test,0.14932740960138224
1.0,1.0,1.0,1.0,5,16,XGBoost,train,0.11351909184726516
0.8864809081527348,0.8987341772151899,1.0,0.9999999999999999,5,16,XGBoost,test,0.11351909184726516
1.0,1.0,1.0,1.0,5,16,ExtraTrees,train,0.03552971576227393
0.9644702842377261,0.9746835443037974,0.9940509940509941,0.9814105377341128,5,16,ExtraTrees,test,0.03552971576227393
1.0,1.0,1.0,1.0,5,16,LightGBM,train,0.08814102564102555
0.9118589743589745,0.9240506329113924,1.0,0.9999999999999999,5,16,LightGBM,test,0.08814102564102555
1.0,1.0,1.0,1.0,5,16,CatBoost,train,0.03193960511033678
0.9680603948896632,0.9746835443037974,0.999008499008499,0.9962723292457513,5,16,CatBoost,test,0.03193960511033678
0.857025517001186,0.8742023701002735,0.9674983646395791,0.9068049411294486,6,17,LogisticRegression,train,0.7034200748243152
0.15360544217687075,0.2716049382716049,0.541155032331503,0.4092650041886888,6,17,LogisticRegression,test,0.7034200748243152
1.0,1.0,1.0,1.0,6,17,RandomForest,train,0.6046752034146992
0.3953247965853008,0.48148148148148145,0.7373993109287227,0.5670197783718615,6,17,RandomForest,test,0.6046752034146992
1.0,1.0,1.0,1.0,6,17,XGBoost,train,0.4768009768009768
0.5231990231990232,0.5432098765432098,0.7253623283035048,0.5222917263912261,6,17,XGBoost,test,0.4768009768009768
1.0,1.0,1.0,1.0,6,17,ExtraTrees,train,0.6689179682003659
0.33108203179963414,0.49382716049382713,0.7634214913626679,0.6024367642065739,6,17,ExtraTrees,test,0.6689179682003659
1.0,1.0,1.0,1.0,6,17,LightGBM,train,0.5333154922196017
0.4666845077803982,0.49382716049382713,0.6715736333383392,0.46406572325857437,6,17,LightGBM,test,0.5333154922196017
0.9987975547147833,0.9990884229717412,0.9999977736664819,0.9999980586039517,6,17,CatBoost,train,0.5217773526945813
0.47702020202020207,0.5555555555555556,0.7486129339070516,0.5447196689184238,6,17,CatBoost,test,0.5217773526945813
0.8309402924812069,0.8466424682395645,0.957345705516096,0.8820622808166668,7,2,LogisticRegression,train,0.2831935309413419
0.547746761539865,0.6447368421052632,0.9312632263851777,0.8730487005277968,7,2,LogisticRegression,test,0.2831935309413419
1.0,1.0,1.0,1.0,7,2,RandomForest,train,0.29474957391830225
0.7052504260816977,0.8421052631578947,0.9555599173485353,0.910811683307255,7,2,RandomForest,test,0.29474957391830225
1.0,1.0,1.0,1.0,7,2,XGBoost,train,0.30619094167481264
0.6938090583251874,0.8289473684210527,0.9202459239044606,0.8184867296526926,7,2,XGBoost,test,0.30619094167481264
1.0,1.0,1.0,1.0,7,2,ExtraTrees,train,0.3870596205962059
0.6129403794037941,0.7368421052631579,0.9034901036933558,0.8109718092128833,7,2,ExtraTrees,test,0.3870596205962059
1.0,1.0,1.0,1.0,7,2,LightGBM,train,0.3764032073310424
0.6235967926689576,0.75,0.9067715031129665,0.8333431571656963,7,2,LightGBM,test,0.3764032073310424
0.9987980384111911,0.9990925589836661,1.0,1.0,7,2,CatBoost,train,0.3382505343854262
0.6605475040257649,0.7894736842105263,0.9436291200518844,0.9099694798443676,7,2,CatBoost,test,0.3382505343854262
0.8533735466032621,0.8692098092643051,0.9682464004587282,0.9076767028497459,8,3,LogisticRegression,train,0.45669415287423293
0.3966793937290292,0.42857142857142855,0.7660142013325558,0.5748212466612923,8,3,LogisticRegression,test,0.45669415287423293
1.0,1.0,1.0,1.0,8,3,RandomForest,train,0.26051282051282054
0.7394871794871795,0.7402597402597403,0.8673376794096349,0.8152818165130351,8,3,RandomForest,test,0.26051282051282054
1.0,1.0,1.0,1.0,8,3,XGBoost,train,0.28692166521781115
0.7130783347821888,0.7142857142857143,0.8743196136323125,0.7859259588583846,8,3,XGBoost,test,0.28692166521781115
1.0,1.0,1.0,1.0,8,3,ExtraTrees,train,0.3783272837265578
0.6216727162734422,0.6883116883116883,0.7782226748375344,0.6297428405617683,8,3,ExtraTrees,test,0.3783272837265578
1.0,1.0,1.0,1.0,8,3,LightGBM,train,0.271993632813223
0.728006367186777,0.7272727272727273,0.8898469120444642,0.8251742577376193,8,3,LightGBM,test,0.271993632813223
0.9980126140506959,0.9981834695731153,0.9999988952156208,0.9999990334304983,8,3,CatBoost,train,0.2805939581949659
0.71741865585573,0.7272727272727273,0.8794951070213973,0.7676515704601686,8,3,CatBoost,test,0.2805939581949659
0.8451304603071385,0.8584392014519057,0.9597458295034738,0.8910110339598015,9,4,LogisticRegression,train,0.22407782872819104
0.6210526315789474,0.8289473684210527,0.7411358289407071,0.6238256462288511,9,4,LogisticRegression,test,0.22407782872819104
